mean_age_SH20-M1H,LnFe_Mn,mean_age_SH20-M1H,LnMn_Ti,mean_age_SH20-M1H,LnBr_Ti,mean_age_SH20-M1H,Mo_inc/coh,mean_age_SH20-M1H,Ln_Ca/Ti
355.6,3.497956417,355.6,1.471133241,355.6,1.6300572,355.6,1.578903367,355.6,1.228665417
365,3.473213999,365,1.055440117,365,1.184057495,365,1.620861346,365,0.693147181
374.4,3.570222875,374.4,1.446918983,374.4,2.159484249,374.4,1.611239061,374.4,1.878191975
383.8,3.513924316,383.8,1.247457916,383.8,1.663505134,383.8,1.594111942,383.8,1.079920156
390.1,3.473518043,390.1,1.84582669,390.1,2.583997552,390.1,1.546899392,390.1,1.897119985
399.5,3.392268751,399.5,NaN,399.5,NaN,399.5,1.548984142,399.5,NaN
405.8,3.872636761,405.8,0.88238918,405.8,2.41293315,405.8,1.580110497,405.8,1.070441412
415.2,3.394508394,415.2,1.245472535,415.2,1.115419407,415.2,1.601421953,415.2,1.153571173
421.5,3.663758865,421.5,0.916290732,421.5,1.661884388,421.5,1.565347146,421.5,0.946596081
431,3.395724342,431,1.31302216,431,1.484564583,431,1.573582228,431,1.635190409
437.2,3.301113923,437.2,1.776011112,437.2,2.217843865,437.2,1.549803437,437.2,1.77070606
449.8,3.222274299,449.8,1.125568099,449.8,1.300772188,449.8,1.607399769,449.8,0.74893854
459.2,3.916015027,459.2,0.223143551,459.2,1.890850372,459.2,1.581894243,459.2,-0.169899037
468.6,3.364858786,468.6,0.976915354,468.6,1.895556263,468.6,1.553682815,468.6,0.384411699
474.9,3.409379777,474.9,1.69773052,474.9,2.162438461,474.9,1.596171138,474.9,1.521026955
484.3,3.468048043,484.3,1.860752341,484.3,2.460809098,484.3,1.602988696,484.3,1.286210903
493.8,3.392171261,493.8,1.218571604,493.8,1.443452775,493.8,1.583209975,493.8,0.567984038
503.2,3.205131002,503.2,NaN,503.2,NaN,503.2,1.561879217,503.2,NaN
512.6,3.315976974,512.6,2.0654553,512.6,3.266607228,512.6,1.607713056,512.6,1.810108608
518.9,3.476679326,518.9,1.960094784,518.9,2.564949357,518.9,1.567695225,518.9,1.526056303
528.3,3.290237747,528.3,1.304320778,528.3,1.422662005,528.3,1.610169936,528.3,0.973860584
537.7,3.494571452,537.7,1.016934258,537.7,1.523495483,537.7,1.61609276,537.7,0.843087328
547.2,3.351035309,547.2,1.44155704,547.2,1.725198703,547.2,1.621254767,547.2,1.171637424
556.6,3.319475023,556.6,2.079441542,556.6,2.086361985,556.6,1.602195097,556.6,1.913649287
563.4,3.222867846,563.4,1.752538756,563.4,2.197224577,563.4,1.636895079,563.4,1.63225259
574.4,3.267105608,574.4,1.329135947,574.4,1.734601055,574.4,1.555562109,574.4,1.070441412
581.8,3.422482246,581.8,0.837886026,581.8,1.182430961,581.8,1.574345565,581.8,0.830768558
592.8,3.637844124,592.8,0.753771802,592.8,1.727220948,592.8,1.566677404,592.8,0.84729786
600.2,3.619172042,600.2,2.238046572,600.2,3.488902962,600.2,1.595399622,600.2,2.374905755
611.2,3.460104844,611.2,0.920204631,611.2,1.569432578,611.2,1.561413006,611.2,0.85566611
618.6,3.333885968,618.6,1.423632032,618.6,1.708692871,618.6,1.538019469,618.6,1.233953637
633.3,3.197608618,633.3,1.208723407,633.3,0.887303195,633.3,1.583067422,633.3,0.900290391
644.3,3.370862002,644.3,1.325139938,644.3,1.733603549,644.3,1.575788595,644.3,1.200577215
655.3,3.265973414,655.3,1.103296138,655.3,1.171042127,655.3,1.603031967,655.3,0.890611717
662.7,3.413989986,662.7,0.993251773,662.7,1.260893095,662.7,1.609242062,662.7,0.955511445
673.7,3.331845508,673.7,0.89885567,673.7,1.039272849,673.7,1.590104188,673.7,0.781700578
684.8,3.323673075,684.8,1.302524478,684.8,1.746089432,684.8,1.571316509,684.8,1.122142786
695.8,3.105262167,695.8,1.05833839,695.8,0.900375277,695.8,1.604673872,695.8,0.793230639
706.8,3.051552344,706.8,1.64717824,706.8,1.862886813,706.8,1.585790405,706.8,1.337023312
714.2,3.379155282,714.2,1.061398692,714.2,0.913547246,714.2,1.574059766,714.2,1.089437912
725.2,3.250515426,725.2,1.299282984,725.2,1.478569637,725.2,1.564074644,725.2,1.219846153
736.2,3.195655283,736.2,1.175304909,736.2,1.274269174,736.2,1.582674003,736.2,0.885383194
747.3,3.433856066,747.3,1.214872095,747.3,1.484092104,747.3,1.596826296,747.3,1.379421482
758.3,3.294101713,758.3,1.065136359,758.3,0.976188873,758.3,1.580826611,758.3,1.102719071
765.7,3.252740339,765.7,1.00764051,765.7,0.338023827,765.7,1.56444347,765.7,0.929249877
776.7,3.188016953,776.7,1.409824859,776.7,1.726162187,776.7,1.543224486,776.7,1.281815291
784,3.288090894,784,1.190179482,784,1.322668665,784,1.581030321,784,1.027660553
795.1,3.262129103,795.1,1.118259286,795.1,1.211090272,795.1,1.592458257,795.1,1.074514737
806.1,3.330439285,806.1,1.202602002,806.1,1.254718003,806.1,1.588012496,806.1,1.11671233
813.5,3.160489767,813.5,1.203972804,813.5,1.415621976,813.5,1.603820347,813.5,0.9897182
824.5,3.283067063,824.5,1.463255402,824.5,1.640936579,824.5,1.535178661,824.5,1.504077397
835.5,3.194753883,835.5,0.992002554,835.5,0.573958663,835.5,1.560054949,835.5,1.068191692
846.6,3.096895802,846.6,1.147771525,846.6,0.693147181,846.6,1.564371135,846.6,0.983732013
857.6,3.246461735,857.6,1.335001067,857.6,1.223775432,857.6,1.583510374,857.6,1.319849262
864.9,3.345655308,864.9,1.16315081,864.9,0.924258902,864.9,1.550907272,864.9,1.406096988
876,3.448513706,876,1.31661444,876,1.69773052,876,1.545931247,876,1.31661444
887,3.317705556,887,1.177704878,887,1.31266111,887,1.598637971,887,1.170071253
898,3.358210021,898,0.964568732,898,1.266493161,898,1.570164551,898,1.008664052
909.1,3.332041418,909.1,0.73511138,909.1,1.019362917,909.1,1.519688152,909.1,0.843207875
916.4,3.243169763,916.4,1.438202221,916.4,1.797209074,916.4,1.552291961,916.4,1.264404544
927.5,3.605796051,927.5,0.972732043,927.5,1.04334961,927.5,1.568536208,927.5,1.302211244
938.6,3.511832424,938.6,1.277095069,938.6,1.682560177,938.6,1.544017928,938.6,1.314835397
949.7,3.30878156,949.7,0.879429139,949.7,1.139053258,949.7,1.517601861,949.7,0.955511445
957.1,3.280541371,957.1,1.338285142,957.1,1.672412712,957.1,1.513870644,957.1,1.328400383
968.2,3.363556949,968.2,1.035698463,968.2,1.495914086,968.2,1.547651281,968.2,1.094538963
975.6,3.185019644,975.6,1.195239124,975.6,1.30421153,975.6,1.555490058,975.6,1.21478372
986.7,3.255986833,986.7,1.098612289,986.7,1.439640342,986.7,1.551097393,986.7,1.439640342
997.8,3.027243733,997.8,1.863585204,997.8,2.00492432,997.8,1.582098741,997.8,1.788207068
1008.9,3.152025795,1008.9,1.161235712,1008.9,1.020834588,1008.9,1.549123943,1008.9,1.292768303
1016.3,2.992812563,1016.3,1.418889839,1016.3,1.456090123,1016.3,1.562375078,1016.3,1.29158641
1027.4,2.961733856,1027.4,1.249957918,1027.4,1.124420173,1027.4,1.539565138,1027.4,0.984498982
1038.6,3.217341547,1038.6,1.240641608,1038.6,1.458895174,1038.6,1.55570196,1038.6,1.383277768
1046,3.367427939,1046,1.064710737,1046,1.682275236,1046,1.572890805,1046,1.305325299
1053.4,3.213231181,1053.4,1.606448374,1053.4,1.401109447,1053.4,1.560486991,1053.4,1.591365131
1060.8,3.152976754,1060.8,1.581658348,1060.8,1.27022219,1060.8,1.535236177,1060.8,1.50559831
1068.2,3.14133207,1068.2,1.330522333,1068.2,1.203028963,1068.2,1.582231692,1068.2,1.38156622
1075.6,3.31976482,1075.6,1.071024332,1075.6,1.223175011,1075.6,1.566458214,1075.6,1.309435356
1083,3.474820618,1083,0.9897182,1083,1.15643186,1083,1.572031388,1083,1.239064124
1090.4,3.431888229,1090.4,1.123930097,1090.4,1.259334734,1090.4,1.543206607,1090.4,1.351065669
1097.8,3.324762154,1097.8,1.24758608,1097.8,1.251040315,1097.8,1.545442433,1097.8,1.57512082
1105.2,3.277879577,1105.2,0.916290732,1105.2,0.749944779,1105.2,1.544420277,1105.2,0.959499486
1112.6,3.385558488,1112.6,1.095169944,1112.6,1.199840567,1112.6,1.56468472,1112.6,1.426703899
1120,3.346342352,1120,1.532722995,1120,1.123930097,1120,1.53987393,1120,1.552460478
1127.4,3.446867418,1127.4,1.191588745,1127.4,1.232784502,1127.4,1.545908269,1127.4,1.366876275
1134.8,3.361623294,1134.8,1.468442333,1134.8,1.555979334,1134.8,1.518052081,1134.8,1.612173892
1142.2,3.312943905,1142.2,0.798954025,1142.2,0.693147181,1142.2,1.526136032,1142.2,1.0714613
1149.7,3.311099582,1149.7,0.952972299,1149.7,1.192922968,1149.7,1.548559584,1149.7,1.251191876
1157.1,3.345004888,1157.1,0.751987681,1157.1,0.850539354,1157.1,1.519307,1157.1,1.05736933
1164.5,3.441548677,1164.5,1.030404039,1164.5,1.248042267,1164.5,1.533892212,1164.5,1.09494256
1171.9,3.601299734,1171.9,1.098612289,1171.9,1.699050071,1171.9,1.489212873,1171.9,1.504077397
1179.3,3.349972349,1179.3,1.405941359,1179.3,1.498772345,1179.3,1.571314148,1179.3,1.742969305
1186.7,3.50224629,1186.7,1.020360092,1186.7,1.342331238,1186.7,1.521051985,1186.7,1.428405846
1194.1,3.597750021,1194.1,1.278197866,1194.1,1.651177519,1194.1,1.522685839,1194.1,1.741328616
1201.5,3.398579579,1201.5,0.852211875,1201.5,1.217671649,1201.5,1.522039399,1201.5,1.087051466
1208.9,3.379737998,1208.9,1.149096194,1208.9,0.933615516,1208.9,1.499996297,1208.9,1.500835903
1216.3,3.356036986,1216.3,1.066660689,1216.3,0.664437075,1216.3,1.518761903,1216.3,1.436879858
1223.7,3.353662138,1223.7,1.05833839,1223.7,0.750671025,1223.7,1.50406041,1223.7,1.658228077
1231.1,3.423910449,1231.1,0.777704569,1231.1,0.693147181,1231.1,1.509880787,1231.1,1.353912952
1238.5,3.311887367,1238.5,0.611268407,1238.5,0.514592107,1238.5,1.496125102,1238.5,1.294123901
1245.9,3.505843356,1245.9,1.084427654,1245.9,0.843265597,1245.9,1.446568232,1245.9,1.851002303
1253.3,3.596102827,1253.3,0.733152515,1253.3,0.766890655,1253.3,1.45546561,1253.3,1.552759575
1260.7,3.481097629,1260.7,0.750305594,1260.7,1.078809661,1260.7,1.405796604,1260.7,1.519212821
1268.2,3.570812287,1268.2,0.749236647,1268.2,0.9285233,1268.2,1.44478806,1268.2,1.458615023
1275.6,3.626098647,1275.6,1.077993001,1275.6,1.287150311,1275.6,1.442526288,1275.6,1.670782563
1283,3.391109495,1283,1.332031503,1283,1.209590797,1283,1.457105828,1283,1.628964335
1290.4,3.358360208,1290.4,1.285198244,1290.4,0.848670544,1290.4,1.463254074,1290.4,1.607512984
1297.8,3.602044927,1297.8,0.636421199,1297.8,0.507880114,1297.8,1.466652925,1297.8,1.2443241
1301.2,3.391627931,1301.2,0.941707545,1301.2,0.827297194,1301.2,1.49170814,1301.2,1.505176902
1304.5,3.467066984,1304.5,0.757467146,1304.5,0.851285902,1304.5,1.501150045,1304.5,1.398457847
1307.9,3.468650607,1307.9,0.773189888,1307.9,0.545916944,1307.9,1.443378137,1307.9,1.532762545
1311.3,3.482784718,1311.3,0.79903947,1311.3,0.789424011,1311.3,1.447932997,1311.3,1.487390478
1314.7,3.419274472,1314.7,1.037524597,1314.7,1.033579818,1314.7,1.429793083,1314.7,1.837016061
1318.1,3.473328954,1318.1,0.725008283,1318.1,0.70031567,1318.1,1.409374387,1318.1,1.607998027
1321.4,3.356958249,1321.4,0.959613414,1321.4,0.486094843,1321.4,1.398248745,1321.4,1.813157391
1324.8,3.589396913,1324.8,0.590668511,1324.8,0.276253377,1324.8,1.38150506,1324.8,1.648908345
1328.2,3.633096814,1328.2,0.941426705,1328.2,0.509005787,1328.2,1.309381234,1328.2,2.126064858
1331.6,3.624440431,1331.6,0.607380359,1331.6,0.020339684,1331.6,1.34139694,1331.6,1.879151291
1335,3.607920499,1335,0.713486865,1335,0.584737882,1335,1.336987691,1335,1.853726193
1338.3,3.665780787,1338.3,0.442233956,1338.3,-0.171148256,1338.3,1.307251866,1338.3,1.765192442
1341.7,3.632493266,1341.7,0.772135592,1341.7,-0.976273436,1341.7,1.287157923,1341.7,1.800850441
1345.1,3.529482478,1345.1,0.508613233,1345.1,-0.978989326,1345.1,1.356716665,1345.1,1.571144946
1348.5,3.44370809,1348.5,0.751134438,1348.5,0.647337645,1348.5,1.375906856,1348.5,1.682799337
1351.8,3.185986274,1351.8,0.898445372,1351.8,0.574087821,1351.8,1.390550147,1351.8,1.319485691
1355.2,3.220320564,1355.2,1.834843055,1355.2,1.775911277,1355.2,1.466359459,1355.2,2.291199771
1358.6,3.09219741,1358.6,1.040983176,1358.6,0.862045717,1358.6,1.49708942,1358.6,1.187843422
1362,3.155666121,1362,1.405552178,1362,1.045367774,1362,1.52822904,1362,1.740466175
1365.4,3.246635095,1365.4,0.975233268,1365.4,0.965080896,1365.4,1.537036444,1365.4,1.49810723
1368.7,3.351003593,1368.7,1.079003817,1368.7,1.203001459,1368.7,1.528885848,1368.7,1.709151446
1372.1,3.344571722,1372.1,0.541488403,1372.1,0.555329455,1372.1,1.526169735,1372.1,0.98232514
1375.5,3.430200858,1375.5,0.608929101,1375.5,0.548565952,1375.5,1.484928698,1375.5,0.937600518
1378.9,3.22129283,1378.9,1.013381856,1378.9,1.206909664,1378.9,1.584294566,1378.9,0.988155293
1382.3,3.161638775,1382.3,1.08838202,1382.3,1.057047864,1382.3,1.568325536,1382.3,0.908627859
1385.6,3.161269741,1385.6,1.040548488,1385.6,1.056721347,1385.6,1.575351182,1385.6,0.919362931
1389,3.168025287,1389,1.190046495,1389,1.340027606,1389,1.581973567,1389,0.928975891
1392.4,3.180923273,1392.4,1.313172096,1392.4,1.460402333,1392.4,1.619170136,1392.4,0.976009967
1395.8,3.21809376,1395.8,1.215988241,1395.8,1.091259314,1395.8,1.57294849,1395.8,0.812150473
1399.2,3.299339497,1399.2,1.32175584,1399.2,1.495266767,1399.2,1.575672532,1399.2,1.145730212
1402.5,3.309082093,1402.5,1.314638372,1402.5,2.136304404,1402.5,1.622249516,1402.5,0.755022584
1405.9,3.297824938,1405.9,1.419681377,1405.9,1.911826132,1405.9,1.588934077,1405.9,1.065136359
1409.3,3.388605928,1409.3,0.660648013,1409.3,0.611407297,1409.3,1.561348722,1409.3,0.424659555
1412.7,3.281228861,1412.7,1.287150311,1412.7,1.653357146,1412.7,1.590050515,1412.7,0.785670549
1416.1,3.344131599,1416.1,1.090769111,1416.1,1.294298994,1416.1,1.62785756,1416.1,0.831549503
1419.4,3.253409856,1419.4,1.609437912,1419.4,2.034321106,1419.4,1.611344832,1419.4,1.168040795
1422.8,3.399152281,1422.8,1.609437912,1422.8,1.844127455,1422.8,1.625481438,1422.8,1.224723748
1426.2,3.264138107,1426.2,1.535100293,1426.2,1.893381663,1426.2,1.603662401,1426.2,1.250628496
1429.6,3.446453973,1429.6,1.164861674,1429.6,1.623043564,1429.6,1.620188392,1429.6,0.759396566
1432.9,3.388830726,1432.9,1.326656095,1432.9,1.586007661,1432.9,1.619150104,1432.9,1.037110089
1436.3,3.368591335,1436.3,1.523053298,1436.3,2.072955032,1436.3,1.61793623,1436.3,1.149043142
1439.7,3.518463488,1439.7,1.009664803,1439.7,1.470420374,1439.7,1.600835455,1439.7,0.8593826
1443.1,3.345196241,1443.1,0.983457375,1443.1,1.16970821,1443.1,1.635284219,1443.1,0.713981267
1446.5,3.405607532,1446.5,0.921830912,1446.5,1.318045261,1446.5,1.599427066,1446.5,0.817084082
1449.8,3.268764287,1449.8,2.246495626,1449.8,2.701971155,1449.8,1.615282649,1449.8,2.020945335
1453.2,3.06538369,1453.2,1.58214577,1453.2,1.847848936,1453.2,1.548337392,1453.2,1.190419838
1456.6,3.108981942,1456.6,1.309661135,1456.6,1.523915739,1456.6,1.600854455,1456.6,0.879558723
1460,3.366115115,1460,1.47780947,1460,1.819158443,1460,1.63866198,1460,1.290150501
1463.4,3.444066865,1463.4,1.226257849,1463.4,1.600951299,1463.4,1.599723382,1463.4,1.144491894
1466.7,3.224952562,1466.7,2.014903021,1466.7,2.496741107,1466.7,1.610267903,1466.7,1.585340361
1469.6,3.299921005,1469.6,1.601184771,1469.6,1.805365121,1469.6,1.612951958,1469.6,1.36553237
1473.8,3.347498926,1473.8,1.007460119,1473.8,1.572396641,1473.8,1.584455107,1473.8,0.664326742
1476.7,3.254565534,1476.7,1.54675421,1476.7,1.552130567,1476.7,1.588796538,1476.7,1.303875415
1479.5,3.28122445,1479.5,1.408767217,1479.5,1.745239454,1479.5,1.592558544,1479.5,1.040116082
1482.4,3.382570533,1482.4,2.265229306,1482.4,2.517696473,1482.4,1.598463163,1482.4,1.882006347
1486.6,3.301824908,1486.6,1.436166191,1486.6,1.662547738,1486.6,1.660026952,1486.6,1.195986453
1489.5,3.306613888,1489.5,1.220058942,1489.5,1.555771011,1489.5,1.628632705,1489.5,1.055660901
1492.3,3.523630834,1492.3,0.89219318,1492.3,0.762140052,1492.3,1.573432068,1492.3,0.906721281
1496.6,3.237122963,1496.6,1.139053258,1496.6,1.218157439,1496.6,1.592964264,1496.6,0.843207875
1499.4,3.332619706,1499.4,1.087051466,1499.4,1.507901493,1499.4,1.594797408,1499.4,0.727048732
1502.3,3.284511717,1502.3,1.563225069,1502.3,2.182783893,1502.3,1.585353447,1502.3,2.083465692
1505.1,3.191664487,1505.1,1.544899391,1505.1,2.092378333,1505.1,1.623819837,1505.1,1.375823061
1509.4,3.038229511,1509.4,1.803807808,1509.4,1.93546619,1509.4,1.572912398,1509.4,1.443705268
1512.2,3.160880633,1512.2,1.775284632,1512.2,2.00834562,1512.2,1.632673225,1512.2,1.429466533
1515,3.126352456,1515,1.582667671,1515,1.884780009,1515,1.603152377,1515,1.459053715
1517.9,3.307614488,1517.9,1.680206983,1517.9,1.704748092,1517.9,1.603480203,1517.9,1.330605455
1522.1,3.201158826,1522.1,2.039595633,1522.1,2.031432322,1522.1,1.626440559,1522.1,1.681758574
1525,3.254020194,1525,1.178654996,1525,1.932426799,1525,1.561250514,1525,0.90371195
1527.8,3.316434557,1527.8,0.84729786,1527.8,1.352392809,1527.8,1.583340912,1527.8,0.828066498
1532.1,3.108956526,1532.1,1.675927654,1532.1,2.035522308,1532.1,1.604720923,1532.1,1.354545663
1534.9,3.342987996,1534.9,0.559615788,1534.9,1.704748092,1534.9,1.606864092,1534.9,-0.693147181
1537.8,3.094823176,1537.8,1.791759469,1537.8,2.424802726,1537.8,1.554013937,1537.8,1.410986974
1540.6,NaN,1540.6,NaN,1540.6,1.913649287,1540.6,1.56455718,1540.6,NaN
1544.9,3.494391159,1544.9,0.6257059,1544.9,2.177711763,1544.9,1.571244509,1544.9,0.361013346
1547.7,3.143941996,1547.7,1.148622709,1547.7,1.366876275,1547.7,1.61498822,1547.7,0.802346473
1550.5,3.510811135,1550.5,0.891998039,1550.5,2.109000344,1550.5,1.56909109,1550.5,0.970778917
1554.8,3.372550201,1554.8,1.750937475,1554.8,2.142416341,1554.8,1.61166987,1554.8,1.444563269
1557.6,3.27108619,1557.6,1.509040186,1557.6,1.378803689,1557.6,1.596308024,1557.6,1.211407783
1560.5,3.332690301,1560.5,1.206242953,1560.5,1.496472797,1560.5,1.58628627,1560.5,0.9822487
1563.3,3.179620001,1563.3,1.046692231,1563.3,1.242506468,1563.3,1.635869987,1563.3,0.798954025
1567.6,3.209360735,1567.6,1.425939192,1567.6,1.707418321,1567.6,1.634741573,1567.6,1.083797203
1570.4,3.176629421,1570.4,1.663677681,1570.4,1.300772188,1570.4,1.633901205,1570.4,1.491244957
1573.3,3.050397802,1573.3,1.640000563,1573.3,1.895394359,1573.3,1.628204641,1573.3,1.360091989
1577.5,3.132003231,1577.5,1.807144388,1577.5,2.105267941,1577.5,1.621602223,1577.5,1.604775899
1580.4,3.028236586,1580.4,1.431550953,1580.4,1.781418115,1580.4,1.618496162,1580.4,0.798507696
1583.2,3.127225606,1583.2,1.637608789,1583.2,1.635080343,1583.2,1.632309288,1583.2,0.99852883
1586.1,2.92084503,1586.1,1.702219646,1586.1,2.10852828,1586.1,1.623529662,1586.1,1.148283898
1590.3,3.255151722,1590.3,1.347308914,1590.3,1.76392467,1590.3,1.63625995,1590.3,1.114176805
1593.2,3.203993851,1593.2,2.050809729,1593.2,2.527018135,1593.2,1.601228891,1593.2,1.589893316
1596,3.170376758,1596,1.730390523,1596,2.038433518,1596,1.585648311,1596,1.122142786
1600.3,3.22460717,1600.3,1.449855843,1600.3,1.764302623,1600.3,1.620985113,1600.3,1.016136067
1603.1,3.301279178,1603.1,1.105885048,1603.1,1.27033448,1603.1,1.603409844,1603.1,0.609448162
1605.9,3.153881916,1605.9,0.972732043,1605.9,1.378197151,1605.9,1.565713685,1605.9,0.814508038
1608.8,3.229996555,1608.8,1.313723668,1608.8,1.722766598,1608.8,1.564815159,1608.8,0.891998039
1613.7,3.368423135,1613.7,0.996528163,1613.7,1.232670968,1613.7,1.562780061,1613.7,0.686797953
1617,3.198171152,1617,1.526876312,1617,1.297566246,1617,1.565970753,1617,1.307822746
1620.2,3.145662974,1620.2,1.659161348,1620.2,1.83336547,1620.2,1.619758208,1620.2,1.266671399
1623.5,3.288961932,1623.5,1.502737812,1623.5,1.368056774,1623.5,1.59516966,1623.5,1.261332001
1739.5,3.092556458,1739.5,1.420195913,1739.5,1.559957855,1739.5,1.584576795,1739.5,0.693147181
1742.7,3.211593559,1742.7,1.63296841,1742.7,1.337504197,1742.7,1.594306824,1742.7,1.203972804
1747.6,3.093398167,1747.6,1.506438673,1747.6,2.016320455,1747.6,1.590401437,1747.6,1.212447431
1750.9,3.144264961,1750.9,1.596450717,1750.9,1.943603343,1750.9,1.565505946,1750.9,1.943603343
1754.2,3.164429825,1754.2,1.239983242,1754.2,0.993251773,1754.2,1.576898885,1754.2,0.752463758
1759.1,3.15239522,1759.1,1.024979038,1759.1,0.606135804,1759.1,1.611530401,1759.1,0.606135804
1762.3,3.096177818,1762.3,1.32662203,1762.3,1.252762968,1762.3,1.640649332,1762.3,0.935615005
1765.6,3.216099698,1765.6,1.670681538,1765.6,1.79759039,1765.6,1.594911924,1765.6,2.627715053
1768.9,3.244757498,1768.9,1.21830263,1768.9,1.514333897,1768.9,1.587450484,1768.9,2.468448937
1773.5,3.203432513,1773.5,1.602965398,1773.5,2.012750167,1773.5,1.580966238,1773.5,0.935460648
1776.1,3.306195577,1776.1,1.595303401,1776.1,1.540445041,1776.1,1.588925496,1776.1,1.155445763
1778.8,3.275224118,1778.8,1.5518088,1778.8,1.444563269,1778.8,1.579422958,1778.8,1.269760545
1782.8,3.203559121,1782.8,1.272965676,1782.8,1.620095207,1782.8,1.58453889,1782.8,0.702036128
1785.5,3.206500395,1785.5,1.584812865,1785.5,1.5070759,1785.5,1.589480796,1785.5,1.524880524
1788.1,3.267984364,1788.1,1.718520307,1788.1,1.962717267,1788.1,1.603887035,1788.1,1.602635165
1790.8,3.182139042,1790.8,1.59204617,1790.8,2.030866872,1790.8,1.605005102,1790.8,1.556328087
1794.8,3.282413846,1794.8,1.364984575,1794.8,1.637943405,1794.8,1.620792276,1794.8,0.961056746
1797.4,2.861792634,1797.4,1.709521371,1797.4,1.70713758,1797.4,1.635813189,1797.4,1.311173731
1800.1,3.140736067,1800.1,1.240023943,1800.1,1.644267304,1800.1,1.633352401,1800.1,0.87757622
1804.1,3.022337227,1804.1,1.414537573,1804.1,1.613595923,1804.1,1.641167388,1804.1,0.787509942
1806.8,2.950422887,1806.8,1.660423467,1806.8,1.768412105,1806.8,1.656891024,1806.8,1.083108102
1809.4,3.127281505,1809.4,1.337975784,1809.4,1.310370518,1809.4,1.598032075,1809.4,0.982007804
1812.1,3.192263438,1812.1,1.753006483,1812.1,2.107551501,1812.1,1.612316981,1812.1,1.341443795
1816.1,3.27138577,1816.1,1.405103693,1816.1,1.793866952,1816.1,1.6468819,1816.1,0.938819845
1818.7,3.351880118,1818.7,1.592426567,1818.7,1.611844652,1818.7,1.59284318,1818.7,1.343210775
1821.4,3.34700047,1821.4,1.090244039,1821.4,0.59700332,1821.4,1.58614235,1821.4,0.761584342
1825.4,3.347048055,1825.4,1.093698274,1825.4,1.093698274,1825.4,1.556143524,1825.4,0.714966228
1828.1,3.415250867,1828.1,1.295565508,1828.1,1.546259011,1828.1,1.589107897,1828.1,0.960209966
1830.7,3.347837971,1830.7,1.524880524,1830.7,1.778153817,1830.7,1.575429199,1830.7,1.107580959
